crime_id,persistent_id,lat,lon,street_id,street_name,location_type,location_subtype,outcome_category,outcome_date,context,ingestion_timestamp,source_api,area,ingestion_date,month,category
130549789,551f8886bbb4331ef5be3bdfb064ca58bfb2f5cd50226a78e0908282beab6f1d,53.350547,-2.114897,2183690,On or near Beech Crescent,Force,,Investigation complete; no suspect identified,2025-08,,2025-10-26T01:30:49.265639,uk_police,stockport,2025-10-26,2025-08,burglary
130549789,551f8886bbb4331ef5be3bdfb064ca58bfb2f5cd50226a78e0908282beab6f1d,53.350547,-2.114897,2183690,On or near Beech Crescent,Force,,Investigation complete; no suspect identified,2025-08,,2025-10-26T10:44:12.916790,uk_police,stockport,2025-10-26,2025-08,burglary
130544811,955e277c330f2b8c014dacc4bcbb137e70d0a5a66c7625ee79e5efb9839fee1d,53.352734,-2.189627,2182366,On or near A555,Force,,Unable to prosecute suspect,2025-08,,2025-10-26T01:30:49.265522,uk_police,stockport,2025-10-26,2025-08,other-crime
130544811,955e277c330f2b8c014dacc4bcbb137e70d0a5a66c7625ee79e5efb9839fee1d,53.352734,-2.189627,2182366,On or near A555,Force,,Unable to prosecute suspect,2025-08,,2025-10-26T10:44:12.916624,uk_police,stockport,2025-10-26,2025-08,other-crime
130533517,71fa7c13fd18f28b64895e69d2acd2d4e7ac2ab4f894093c4c88c7feb79ddebe,53.353403,-2.141496,2182940,On or near South Mead,Force,,Unable to prosecute suspect,2025-08,,2025-10-26T01:30:49.265583,uk_police,stockport,2025-10-26,2025-08,public-order
130551342,e9e81d4fdce9b591b008154495bbf5145000d149b57c32d2c247a0106485dcae,53.353481,-2.088779,2184007,On or near Middlewood Road,Force,,Investigation complete; no suspect identified,2025-08,,2025-10-26T01:30:49.265649,uk_police,stockport,2025-10-26,2025-08,public-order
130533517,71fa7c13fd18f28b64895e69d2acd2d4e7ac2ab4f894093c4c88c7feb79ddebe,53.353403,-2.141496,2182940,On or near South Mead,Force,,Unable to prosecute suspect,2025-08,,2025-10-26T10:44:12.916671,uk_police,stockport,2025-10-26,2025-08,public-order
130551342,e9e81d4fdce9b591b008154495bbf5145000d149b57c32d2c247a0106485dcae,53.353481,-2.088779,2184007,On or near Middlewood Road,Force,,Investigation complete; no suspect identified,2025-08,,2025-10-26T10:44:12.916816,uk_police,stockport,2025-10-26,2025-08,public-order
130539447,724da68187e914193b5dd7fbe77cfc16a77c6b6c3786ad19540c268205d48dbd,53.348301,-2.146781,2182788,On or near Bittern Close,Force,,Unable to prosecute suspect,2025-08,,2025-10-26T01:30:49.265599,uk_police,stockport,2025-10-26,2025-08,violent-crime
130539535,79ce2e6354727e6949a6a1079889b02df53071b0c7f0597a8bb0a6472cf346bf,53.352716,-2.129159,2183201,On or near Whitby Close,Force,,Investigation complete; no suspect identified,2025-08,,2025-10-26T01:30:49.265610,uk_police,stockport,2025-10-26,2025-08,violent-crime
130540161,e2b4f3b202f2196ef58a5c97f0ace93bfdb23eb18dec9bde07296b4007579721,53.348301,-2.146781,2182788,On or near Bittern Close,Force,,Unable to prosecute suspect,2025-08,,2025-10-26T01:30:49.265619,uk_police,stockport,2025-10-26,2025-08,violent-crime
130588276,d12687f022ca6ddcf6587fc133de068f946c243139a4923a9244ca7b766391cb,53.365257,-2.151243,1919089,On or near Gleneagles Close,Force,,Under investigation,2025-08,,2025-10-26T01:30:49.265630,uk_police,stockport,2025-10-26,2025-08,violent-crime
130825955,0b250077b3ef021d758f1a2a3ef0f544bd81b7c5413ccfc8a90ffc9abdba4596,53.418127,-2.158532,1918204,On or near Kings Court,Force,,Under investigation,2025-08,,2025-10-26T01:30:49.265658,uk_police,stockport,2025-10-26,2025-08,violent-crime
